lead,t_s,v,v_units
V1,0.4515628218650818,-0.19050392508506775,mV
V1,0.45861849188804626,-0.09754514694213867,mV
V1,0.46567416191101074,-0.009877894073724747,mV
V1,0.4727298319339752,0.012170534580945969,mV
V1,0.4797855019569397,0.03422003984451294,mV
V1,0.4868411719799042,0.05115295574069023,mV
V1,0.49389684200286865,0.05856110900640488,mV
V1,0.5009525418281555,0.07549510151147842,mV
V1,0.5080081820487976,0.09772063046693802,mV
V1,0.5150638818740845,0.10724540054798126,mV
V1,0.5221195220947266,0.13652703166007996,mV
V1,0.5291752219200134,0.16333837807178497,mV
V1,0.5362308621406555,0.1950892060995102,mV
V1,0.5432865023612976,0.22683951258659363,mV
V1,0.5503422021865845,0.23177845776081085,mV
V1,0.5573978424072266,0.24871191382408142,mV
V1,0.5644535422325134,0.25118112564086914,mV
V1,0.5715091824531555,0.22930924594402313,mV
V1,0.5785648822784424,0.21466843783855438,mV
V1,0.5856205224990845,0.1950892060995102,mV
V1,0.5926762223243713,0.15134333074092865,mV
V1,0.5997318625450134,0.10724540054798126,mV
V1,0.6067875623703003,0.09754406660795212,mV
V1,0.6138432025909424,0.06350059062242508,mV
V1,0.6208989024162292,0.0635000541806221,mV
V1,0.6279545426368713,0.04868321493268013,mV
V1,0.6350102424621582,0.04392082989215851,mV
V1,0.6420658826828003,0.02928055450320244,mV
V1,0.6491215825080872,0.007408151403069496,mV
V1,0.6561772227287292,0.009877894073724747,mV
V1,0.6632329225540161,0.009700791910290718,mV
V1,0.6702885627746582,-0.004939485341310501,mV
V1,0.6773442625999451,-0.029281631112098694,mV
V1,0.6843999028205872,-0.009877894073724747,mV
V1,0.691455602645874,0.0,mV
V1,0.6985112428665161,-0.024342145770788193,mV
V1,0.705566942691803,-0.009877894073724747,mV
V1,0.7126225829124451,0.007408151403069496,mV
V1,0.7196782827377319,0.024341069161891937,mV
V1,0.726733922958374,0.026811350136995316,mV
V1,0.7337896227836609,0.024341069161891937,mV
V1,0.740845263004303,0.03898242115974426,mV
V1,0.7479009628295898,0.04868321493268013,mV
V1,0.7549566030502319,0.03422003984451294,mV
V1,0.7620123028755188,0.02928055450320244,mV
V1,0.7690679430961609,0.007408151403069496,mV
V1,0.7761236429214478,0.0,mV
V1,0.7831792831420898,0.004938408732414246,mV
V1,0.7902349829673767,0.004938408732414246,mV
V1,0.7972906231880188,0.009877894073724747,mV
V1,0.8043462634086609,-0.0024697426706552505,mV
V1,0.8114019632339478,-0.004939485341310501,mV
V1,0.8184576034545898,-0.014640815556049347,mV
V1,0.8255133032798767,-0.014817379415035248,mV
V1,0.8325689435005188,-0.017110558226704597,mV
V1,0.8396246433258057,-0.029281631112098694,mV
V1,0.8466802835464478,-0.09525196254253387,mV
V1,0.8537359833717346,-0.16580866277217865,mV
V1,0.8607916235923767,-0.20990659296512604,mV
V1,0.8678473234176636,-0.3954710364341736,mV
V1,0.8749029636383057,-0.7027451395988464,mV
V1,0.8819586634635925,-0.7955273389816284,mV
V1,0.8890143036842346,-0.7833563089370728,mV
V1,0.8960700035095215,-0.5612786412239075,mV
V1,0.9031256437301636,-0.319622278213501,mV
V1,0.9101813435554504,-0.14146651327610016,mV
V1,0.9172369837760925,-0.04145216569304466,mV
V1,0.9242926836013794,0.04868321493268013,mV
V1,0.9313483238220215,0.07302536070346832,mV
V1,0.9384040236473083,0.08784274011850357,mV
V1,0.9454596638679504,0.07320192456245422,mV
V1,0.9525153636932373,0.0659697949886322,mV
V1,0.9595710039138794,0.08784274011850357,mV
V1,0.9666267037391663,0.10724540054798126,mV
V1,0.9736823439598083,0.10230699181556702,mV
V1,0.9807380437850952,0.11218434572219849,mV
V1,0.9877936840057373,0.12700118124485016,mV
V1,0.9948493838310242,0.11959303170442581,mV
V1,1.001905083656311,0.15134333074092865,mV
V1,1.0089607238769531,0.16104519367218018,mV
V1,1.0160163640975952,0.18062496185302734,mV
V1,1.0230720043182373,0.17568548023700714,mV
V1,1.030127763748169,0.18062496185302734,mV
V1,1.037183403968811,0.18291759490966797,mV
V1,1.0442390441894531,0.18062496185302734,mV
V1,1.0512946844100952,0.15381307899951935,mV
V1,1.0583504438400269,0.13176409900188446,mV
V1,1.065406084060669,0.12206277251243591,mV
V1,1.072461724281311,0.0659697949886322,mV
V1,1.0795173645019531,0.06843899935483932,mV
V1,1.0865730047225952,0.07302536070346832,mV
V1,1.0936287641525269,0.06350059062242508,mV
V1,1.100684404373169,0.03422003984451294,mV
V1,1.107740044593811,0.039158448576927185,mV
V1,1.1147956848144531,0.03422003984451294,mV
V1,1.1218514442443848,0.009877894073724747,mV
V1,1.1289070844650269,0.0,mV
V1,1.135962724685669,-0.004939485341310501,mV
V1,1.143018364906311,-0.009878432378172874,mV
V1,1.1500741243362427,-0.009877894073724747,mV
V1,1.1571297645568848,-0.012347636744379997,mV
V1,1.1641854047775269,-0.014817379415035248,mV
V1,1.171241044998169,-0.01711001992225647,mV
V1,1.1782968044281006,-0.014817379415035248,mV
V1,1.1853524446487427,-0.012171611189842224,mV
V1,1.1924080848693848,-0.009877894073724747,mV
V1,1.1994637250900269,-0.02434268407523632,mV
V1,1.2065194845199585,-0.0024697426706552505,mV
V1,1.2135751247406006,-0.014817379415035248,mV
V1,1.2206307649612427,-0.03422003984451294,mV
V1,1.2276864051818848,-0.03422003984451294,mV
V1,1.2347421646118164,-0.061031926423311234,mV
V1,1.2417978048324585,-0.03915952518582344,mV
V1,1.2488534450531006,-0.05362323671579361,mV
V1,1.2559090852737427,-0.048684291541576385,mV
V1,1.2629648447036743,-0.11959411203861237,mV
V1,1.2700204849243164,-0.24412663280963898,mV
V1,1.2770761251449585,-0.31239014863967896,mV
V1,1.2841317653656006,-0.590560257434845,mV
V1,1.2911875247955322,-0.8126368522644043,mV
V1,1.2982431650161743,-0.8833701014518738,mV
V1,1.3052988052368164,-0.7685388922691345,mV
V1,1.3123544454574585,-0.45385611057281494,mV
V1,1.3194102048873901,-0.25365138053894043,mV
V1,1.3264658451080322,-0.14411282539367676,mV
V1,1.3335214853286743,-0.004939485341310501,mV
V1,1.3405771255493164,0.026810811832547188,mV
V1,1.3476327657699585,0.043744806200265884,mV
V1,1.3546885251998901,0.058561645448207855,mV
V1,1.3617441654205322,0.06350059062242508,mV
V1,1.3687998056411743,0.06103084981441498,mV
V1,1.3758554458618164,0.07796484231948853,mV
V1,1.382911205291748,0.08290378749370575,mV
V1,1.3899668455123901,0.09772063046693802,mV
V1,1.3970224857330322,0.13405728340148926,mV
V1,1.4040781259536743,0.15134333074092865,mV
V1,1.411133885383606,0.16086916625499725,mV
V1,1.418189525604248,0.1658075749874115,mV
V1,1.4252451658248901,0.18044839799404144,mV
V1,1.4323008060455322,0.23424765467643738,mV
V1,1.4393565654754639,0.21943135559558868,mV
V1,1.446412205696106,0.1855633705854416,mV
V1,1.453467845916748,0.17321626842021942,mV
V1,1.4605234861373901,0.15134333074092865,mV
V1,1.4675792455673218,0.10230699181556702,mV
V1,1.4746348857879639,0.08290325105190277,mV
V1,1.481690526008606,0.06843899935483932,mV
V1,1.488746166229248,0.04639057442545891,mV
V1,1.4958019256591797,0.039158448576927185,mV
V1,1.5028575658798218,0.01693291775882244,mV
V1,1.5099132061004639,-0.009877894073724747,mV
V1,1.516968846321106,-0.004939485341310501,mV
V1,1.5240246057510376,-0.009877894073724747,mV
V1,1.5310802459716797,-0.039158985018730164,mV
V1,1.5381358861923218,-0.044097933918237686,mV
V1,1.5451915264129639,-0.026811888441443443,mV
V1,1.5522472858428955,-0.029281631112098694,mV
V1,1.5593029260635376,-0.029281631112098694,mV
V1,1.5663585662841797,-0.004939485341310501,mV
V1,1.5734142065048218,0.009877894073724747,mV
V1,1.5804699659347534,0.012170534580945969,mV
V1,1.5875256061553955,-0.029281631112098694,mV
V1,1.5945812463760376,-0.03668978065252304,mV
V1,1.6016368865966797,-0.12700225412845612,mV
V1,1.6086925268173218,-0.2734071910381317,mV
V1,1.6157482862472534,-0.5514007210731506,mV
V1,1.6228039264678955,-0.7808865308761597,mV
V1,1.6298595666885376,-0.8540895581245422,mV
V1,1.6369152069091797,-0.8002897500991821,mV
V1,1.6439709663391113,-0.5369364619255066,mV
V1,1.6510266065597534,-0.3220914602279663,mV
V1,1.6580822467803955,-0.1806260347366333,mV
V1,1.6651378870010376,-0.07320299744606018,mV
V1,1.6721936464309692,-0.019403737038373947,mV
V1,1.6792492866516113,-0.0024697426706552505,mV
V1,1.6863049268722534,0.02928055450320244,mV
V1,1.6933605670928955,0.05115295574069023,mV
V1,1.7004163265228271,0.06350059062242508,mV
V1,1.7074719667434692,0.08290378749370575,mV
V1,1.7145276069641113,0.10477619618177414,mV
V1,1.7215832471847534,0.11218488216400146,mV
V1,1.728639006614685,0.14640438556671143,mV
V1,1.7356946468353271,0.18062496185302734,mV
V1,1.7427502870559692,0.20249736309051514,mV
V1,1.7498059272766113,0.23918715119361877,mV
V1,1.756861686706543,0.26352930068969727,mV
V1,1.763917326927185,0.2734071910381317,mV
V1,1.7709729671478271,0.27569982409477234,mV
V1,1.7780286073684692,0.25858980417251587,mV
V1,1.7850843667984009,0.22683951258659363,mV
V1,1.792140007019043,0.1950892060995102,mV
V1,1.799195647239685,0.1486981064081192,mV
V1,1.8062512874603271,0.11712329089641571,mV
V1,1.8133070468902588,0.08537299185991287,mV
V1,1.8203626871109009,0.03422003984451294,mV
V1,1.827418327331543,0.02928055450320244,mV
V1,1.834473967552185,0.014463174156844616,mV
V1,1.8415297269821167,-0.004939485341310501,mV
